"시점","항목",전직종,전직종,전직종,전직종,전직종,관리자(1),관리자(1),관리자(1),관리자(1),관리자(1),전문가 및 관련종사자(2),전문가 및 관련종사자(2),전문가 및 관련종사자(2),전문가 및 관련종사자(2),전문가 및 관련종사자(2),사무 종사자(3),사무 종사자(3),사무 종사자(3),사무 종사자(3),사무 종사자(3),서비스 종사자(4),서비스 종사자(4),서비스 종사자(4),서비스 종사자(4),서비스 종사자(4),판매 종사자(5),판매 종사자(5),판매 종사자(5),판매 종사자(5),판매 종사자(5),농림·어업 숙련 종사자(6),농림·어업 숙련 종사자(6),농림·어업 숙련 종사자(6),농림·어업 숙련 종사자(6),농림·어업 숙련 종사자(6),기능원 및 관련 기능 종사자(7),기능원 및 관련 기능 종사자(7),기능원 및 관련 기능 종사자(7),기능원 및 관련 기능 종사자(7),기능원 및 관련 기능 종사자(7),장치·기계 조작 및 조립 종사자(8),장치·기계 조작 및 조립 종사자(8),장치·기계 조작 및 조립 종사자(8),장치·기계 조작 및 조립 종사자(8),장치·기계 조작 및 조립 종사자(8),단순노무 종사자(9),단순노무 종사자(9),단순노무 종사자(9),단순노무 종사자(9),단순노무 종사자(9)
"시점","항목",전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함),전체근로자,전체근로자(특수형태포함),정규근로자,비정규근로자,비정규직근로자(특수형태포함)
"2021","총근로일수 (일)",20.8,-,22.1,16.9,-,22.0,-,22.0,21.8,-,21.4,-,22.0,18.0,-,21.8,-,21.9,20.1,-,20.0,-,22.4,17.7,-,20.0,-,22.3,14.4,-,18.6,-,22.3,14.9,-,18.6,-,22.4,13.1,-,22.0,-,22.3,20.5,-,19.0,-,22.3,16.6,-
"2021","총근로시간 (시간)",164.2,-,180.2,115.4,-,178.1,-,178.4,172.4,-,169.4,-,177.9,117.5,-,173.5,-,177.3,139.1,-,133.1,-,175.5,93.4,-,152.5,-,178.9,86.2,-,145.5,-,177.5,112.6,-,151.1,-,183.8,103.9,-,187.5,-,190.3,170.1,-,147.6,-,182.9,121.7,-
"2021","소정실근로시간 (시간)",157.2,-,172.2,111.7,-,174.4,-,174.5,171.6,-,164.0,-,172.0,115.2,-,169.1,-,172.7,136.7,-,129.6,-,170.2,91.6,-,149.1,-,174.7,85.0,-,140.9,-,171.5,109.4,-,143.9,-,173.3,101.5,-,168.2,-,170.8,152.5,-,140.6,-,172.0,117.5,-
"2021","초과근로시간 (시간)",6.9,-,8.0,3.7,-,3.7,-,3.9,0.8,-,5.4,-,5.9,2.3,-,4.4,-,4.6,2.4,-,3.4,-,5.2,1.8,-,3.3,-,4.2,1.2,-,4.6,-,6.0,3.2,-,7.2,-,10.6,2.4,-,19.2,-,19.5,17.7,-,7.0,-,10.9,4.2,-
"2021","휴일근로시간 (시간)",1.7,-,2.0,0.9,-,0.9,-,0.9,0.2,-,1.0,-,1.0,0.5,-,0.8,-,0.9,0.4,-,0.8,-,1.3,0.4,-,0.9,-,1.1,0.5,-,2.2,-,2.9,1.4,-,2.5,-,3.8,0.7,-,5.3,-,5.5,4.2,-,1.9,-,3.0,1.0,-
"2021","시간당임금총액 (원)",19806,-,21230,15482,-,62043,-,61325,77970,-,23898,-,24132,22466,-,22441,-,23282,14732,-,12295,-,13133,11510,-,16398,-,18749,10516,-,15962,-,15777,16153,-,20226,-,18586,22585,-,18074,-,18730,14070,-,13074,-,13150,13018,-
"2021","시간당정액급여 (원)",17931,-,18835,15188,-,54425,-,53964,64644,-,21549,-,21498,21866,-,20066,-,20705,14208,-,11944,-,12492,11431,-,15355,-,17314,10453,-,15365,-,14748,15998,-,18895,-,16399,22486,-,15174,-,15485,13279,-,12567,-,12229,12815,-
"2021","월임금총액 (천원)",3271,3250,3795,1681,1879,10947,10947,10829,13555,13555,3967,3848,4264,2150,2108,3911,3905,4111,2074,2084,1632,1689,2253,1051,1208,2659,2721,3345,944,1937,2177,2180,2773,1565,1572,2903,2896,3394,2196,2193,3370,3441,3544,2310,2930,1870,1901,2395,1484,1556
"2021","월급여액 (천원)",2974,2967,3410,1649,1853,9630,9630,9557,11238,11238,3570,3475,3818,2057,2044,3508,3503,3673,1997,2009,1598,1656,2187,1046,1203,2485,2585,3103,939,1934,2089,2091,2615,1548,1555,2697,2691,3050,2188,2186,2973,3056,3088,2268,2895,1818,1849,2286,1473,1546
"2021","정액급여 (천원)",2816,2817,3222,1583,1798,9480,9480,9402,11195,11195,3427,3340,3659,2005,2009,3403,3399,3562,1950,1964,1532,1593,2080,1018,1178,2418,2532,3016,921,1925,2002,2005,2489,1502,1509,2540,2536,2814,2147,2145,2529,2626,2625,1947,2631,1693,1729,2087,1403,1479
"2021","초과급여 (천원)",158,150,188,67,55,150,150,155,42,42,144,135,159,52,35,104,104,111,47,45,66,63,107,28,26,67,52,87,18,9,87,86,126,46,46,156,155,236,42,41,444,430,464,321,264,125,121,199,70,66
"2021","전년도 연간특별급여/12개월 (천원)",298,283,385,31,26,1317,1317,1272,2318,2318,396,372,446,93,64,403,402,439,78,75,35,33,66,5,5,174,136,242,6,3,88,88,158,17,17,206,204,344,7,7,397,385,455,42,34,53,51,109,11,11
"2021","전년도 연간특별급여 (천원)",3572,3399,4625,375,314,15804,15804,15263,27811,27811,4756,4467,5352,1111,765,4840,4822,5266,932,900,417,398,797,61,57,2091,1631,2899,70,37,1062,1060,1895,206,206,2471,2451,4127,90,88,4765,4623,5464,500,411,631,613,1310,131,128
